subject_id,artifact_type,severity,method,mse,corr,snr_after_db,snr_improvement_db,mean_band_rel_error,combined_score,l_freq,h_freq,order,q,mysize,wavelet,level,threshold_scale,mode,n_components,top_k,excluded_components,converged
1,blink,high,ICA,2.6882753110927997e-11,0.9952511077224585,20.009598017192125,3.7389475258159734,0.0031003958420361194,0.9999999999943456,,,,,,,,,,15.0,1.0,[np.int64(13)],True
1,blink,low,ICA,4.982516869138711e-12,0.9991156402775367,26.69411523114835,6.760222446486797,0.001474414773236371,0.9999999999947502,,,,,,,,,,20.0,1.0,[np.int64(18)],True
1,blink,medium,ICA,5.570815801355739e-11,0.9900820673647932,16.9264991417672,4.117340953881593,0.0030598729633467547,0.9999999999951918,,,,,,,,,,30.0,1.0,[np.int64(10)],True
1,drift,high,Butterworth+Notch,2.1345792258577114e-10,0.9612766555300576,11.149533602566862,2.6021615697982856,0.03754492111136525,0.9762120798246837,0.5,45.0,2.0,40.0,,,,,,,,,
1,drift,low,ICA,5.864533320318438e-11,0.9896051759987444,16.707189859266073,-1.7199262805412907,0.007506287757764526,0.999999999992405,,,,,,,,,,20.0,1.0,[np.int64(19)],True
1,drift,medium,Wavelet,2.0667253935267383e-10,0.963819244758179,11.289163816517886,-1.1979939890234519,0.026288790955416235,0.9961577951231859,,,,,,coif3,3.0,0.8,hard,,,,
1,emg,high,Wavelet,7.973569601581682e-11,0.985679203893102,15.392298613543336,-4.008336700866618,0.01908756570604886,0.9971909984901333,,,,,,coif3,3.0,0.8,hard,,,,
1,emg,low,Wavelet,5.247620717184871e-11,0.990566240606292,17.18134857881877,-11.51485112947968,0.02282139695104876,0.9999999999943958,,,,,,coif3,3.0,0.8,hard,,,,
1,emg,medium,Wavelet,6.022047474591874e-11,0.9891703670175466,16.593987619050427,-7.098696684272902,0.02311147352763926,0.9999999999924079,,,,,,coif3,3.0,0.8,hard,,,,
1,line,high,ICA,3.729548588445385e-12,0.9993326263060454,27.714757635009754,15.385144355024366,0.000872252733308729,0.9999999999960243,,,,,,,,,,15.0,2.0,"[np.int64(10), np.int64(9)]",True
1,line,low,ICA,3.603405068871722e-12,0.999355074594786,27.832162634128114,5.01353174383965,0.0018060137762390697,0.9999999999944282,,,,,,,,,,30.0,2.0,"[np.int64(27), np.int64(29)]",True
1,line,medium,ICA,5.549415731877272e-12,0.9990065993920414,26.30092896341801,8.649808723668293,0.0022440159516075083,0.99999999999439,,,,,,,,,,15.0,2.0,"[np.int64(14), np.int64(12)]",True
1,mixed,high,Butterworth+Notch,6.490019423339625e-10,0.8771646060995516,6.333808005969768,4.553500115568254,0.04096381833110725,0.9999999999984941,1.0,45.0,2.0,40.0,,,,,,,,,
1,mixed,low,ICA,9.835311587745092e-11,0.9827218069716385,14.491139631492143,-0.09344257454910831,0.003071117152886946,0.9999999999913114,,,,,,,,,,20.0,2.0,"[np.int64(17), np.int64(19)]",True
1,mixed,medium,ICA,1.4344795185442096e-10,0.9750476827539485,12.865840666912263,0.5938993841900757,0.003249137064333331,0.9999999999918912,,,,,,,,,,30.0,1.0,[np.int64(25)],True
2,blink,high,ICA,1.3969401640400314e-11,0.991528041261289,17.355410092854985,13.653417286458604,0.013111305923209858,0.9999999999990736,,,,,,,,,,30.0,3.0,"[np.int64(5), np.int64(14), np.int64(3)]",True
2,blink,low,Butterworth+Notch,4.017228995937769e-11,0.975076376252223,12.961404276081423,-3.3578525407456876,0.02105964388158836,0.9999999999937434,0.5,45.0,4.0,40.0,,,,,,,,,
2,blink,medium,ICA,1.4406040489396639e-11,0.9912605935419955,17.23054415360743,7.641229382544049,0.011179230982931837,0.9974014645472803,,,,,,,,,,30.0,3.0,"[np.int64(26), np.int64(7), np.int64(22)]",True
2,drift,high,Butterworth+Notch,3.553228766318157e-11,0.9780150752507614,13.480685815602113,5.242729864469327,0.02532526867667788,0.999999999997913,0.5,45.0,4.0,40.0,,,,,,,,,
2,drift,low,ICA,2.2520442509274514e-11,0.9861701620377257,15.392999620614102,-2.857019099674549,0.017292410145842447,0.9999999999935394,,,,,,,,,,30.0,1.0,[np.int64(17)],True
